Anti-Malware Logs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Summary,807 out of exported 807 entries are found and exported.,,,,,,,,,,,
Filter,,,,,,,,,,,,
Time,"2024-11-01 00:00:00 - 2024-12-01 23:59:59
",,,,,,,,,,,
Sort by time,Descending,,,,,,,,,,,
Endpoint,All,,,,,,,,,,,
IP Address,All,,,,,,,,,,,
Event Type,All,,,,,,,,,,,
Status,All,,,,,,,,,,,
Result,,,,,,,,,,,,
No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
196,2024-11-22 12:31:35,2F-PC-101,172.22.62.136,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
197,2024-11-22 12:31:30,5F-PC-084,172.22.80.22,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:30,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
198,2024-11-22 12:31:27,6F-PC-061,172.22.66.8,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
199,2024-11-22 12:31:25,5F-PC-083,172.22.80.244,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
200,2024-11-22 12:30:45,2F-PC-064,172.22.35.140,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:56,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:14,Sangfor Cloud-Based Antivirus Engine,20241126125034
201,2024-11-22 12:30:40,2F-PC-048,172.22.35.139,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Sangfor Cloud-Based Antivirus Engine,20241126125034
202,2024-11-22 12:30:36,5FB-NB-002,172.22.12.209,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-13 08:42:29,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:41,Sangfor Cloud-Based Antivirus Engine,20241126125034
203,2024-11-22 12:30:21,2F-PC-061,172.22.35.3,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:12,Gene Analysis Engine,20241126125034
204,2024-11-22 12:30:17,GF-PC-048,172.22.52.126,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-13 17:09:06,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:10,Gene Analysis Engine,20241126125034
205,2024-11-22 12:30:08,2F-PC-052,172.22.35.6,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
206,2024-11-22 12:29:58,2F-PC-058,172.22.57.139,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:35,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:10,Sangfor Cloud-Based Antivirus Engine,20241126125034
207,2024-11-22 12:29:21,4F-PC-037,172.22.61.156,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:16,Gene Analysis Engine,20241126125034
208,2024-11-22 12:29:18,1F-PC-231A,172.22.7.63,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-03-14 02:06:02,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:26,Gene Analysis Engine,20241126125034
209,2024-11-22 12:29:17,3F-PC-108,172.22.64.136,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:45,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
210,2024-11-22 12:29:12,1F-PC-088,172.22.54.89,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:46,Gene Analysis Engine,20241126125034
211,2024-11-22 12:29:01,GF-NB-002,172.22.14.88,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Sangfor Cloud-Based Antivirus Engine,20241126125034
212,2024-11-22 12:28:53,4F-NB-004,172.22.15.187,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:07:01,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:26,Sangfor Cloud-Based Antivirus Engine,20241126125034
213,2024-11-22 12:28:51,5F-PC-054,172.22.68.92,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:29,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:32,Gene Analysis Engine,20241126125034
214,2024-11-22 12:28:47,2F-PC-040,172.22.57.189,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
215,2024-11-22 12:28:43,1F-PC-221,172.22.0.206,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
216,2024-11-22 12:28:39,2F-PC-175,172.22.55.66,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Sangfor Cloud-Based Antivirus Engine,20241126125034
217,2024-11-22 12:28:39,GF-PCP-012,172.22.52.94,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:06:57,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:13,Sangfor Cloud-Based Antivirus Engine,20241126125034
218,2024-11-22 12:28:32,4F-NB-008,172.22.2.197,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:23:18,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Sangfor Cloud-Based Antivirus Engine,20241126125034
219,2024-11-22 12:28:24,1F-PC-193,172.22.50.224,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Sangfor Cloud-Based Antivirus Engine,20241126125034
220,2024-11-22 12:28:18,5F-PC-114,172.22.80.29,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:30,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:13,Gene Analysis Engine,20241120110503
221,2024-11-22 12:28:17,Buffer140,172.22.2.198,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:34,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:42,Sangfor Cloud-Based Antivirus Engine,20241126125034
222,2024-11-22 12:28:17,2F-NB-005,172.22.0.68,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:29,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
223,2024-11-22 12:28:11,5F-PC-029,172.22.80.23,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:28,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
224,2024-11-22 12:28:07,2F-PCP-012,172.22.62.127,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:06:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:11,Sangfor Cloud-Based Antivirus Engine,20241126125034
225,2024-11-22 12:28:05,2F-PC-075,172.22.57.147,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:10,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
226,2024-11-22 12:28:03,2F-PC-054,172.22.35.134,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:51,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
227,2024-11-22 12:28:02,1F-PC-194,172.22.54.227,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:08,Gene Analysis Engine,20241126125034
228,2024-11-22 12:27:59,1F-PC-107,172.22.54.109,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
229,2024-11-22 12:27:41,2F-PC-066,172.22.35.7,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:10,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:15,Gene Analysis Engine,20241126125034
230,2024-11-22 12:27:39,ECG-INT1,172.22.25.34,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
231,2024-11-22 12:27:39,5F-PC-080,172.22.80.154,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
232,2024-11-22 12:27:33,4F-PC-052,172.22.80.248,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:45,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:36,Gene Analysis Engine,20241126125034
233,2024-11-22 12:27:31,1F-PC-068,172.22.53.85,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
234,2024-11-22 12:27:28,2F-PC-072,172.22.35.4,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:09,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Sangfor Cloud-Based Antivirus Engine,20241126125034
235,2024-11-22 12:27:26,2F-PC-229,172.22.58.71,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:13,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
236,2024-11-22 12:27:10,2F-PC-094,172.22.35.130,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:38,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:41,Gene Analysis Engine,20241126125034
237,2024-11-22 12:27:08,buffer1,172.22.53.232,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:09,Gene Analysis Engine,20241120110503
238,2024-11-22 12:27:06,1F-PC-035,172.22.53.75,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:42,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:06,Gene Analysis Engine,20241126125034
239,2024-11-22 12:26:55,2F-PC-045,172.22.57.195,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:51,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:14,Sangfor Cloud-Based Antivirus Engine,20241126125034
240,2024-11-22 12:26:54,2F-PC-069,172.22.35.17,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:23,Sangfor Cloud-Based Antivirus Engine,20241126125034
241,2024-11-22 12:26:47,2F-PC-118,172.22.62.18,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:02,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:39,Gene Analysis Engine,20241126125034
242,2024-11-22 12:26:45,2F-PC-055,172.22.35.57,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:51,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:09,Sangfor Cloud-Based Antivirus Engine,20241120110503
243,2024-11-22 12:26:37,1F-PC-119,172.22.50.212,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:34:09,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
244,2024-11-22 12:26:34,2F-PC-051,172.22.35.77,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:48,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:16,Sangfor Cloud-Based Antivirus Engine,20241126125034
245,2024-11-22 12:26:27,5F-PC-099a,172.22.80.183,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:59,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:17,Gene Analysis Engine,20241120110503
246,2024-11-22 12:26:08,2F-PC-186,172.22.57.69,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:08,Sangfor Cloud-Based Antivirus Engine,20241126125034
247,2024-11-22 12:26:02,2F-PC-047,172.22.35.27,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:52,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:28,Sangfor Cloud-Based Antivirus Engine,20241126125034
248,2024-11-22 10:23:07,2F-PC-106,172.22.68.94,Others,Suspicious.Win32.Save.a,e:\recycler\6dc09d8d.exe,2024-11-18 12:07:03,CEAF8C1BD2B8884E7D8728E5FAA8DD66,Isolated successfully.,2024-11-22 10:23:07,Sangfor Engine Zero,20241119141739
249,2024-11-22 10:09:27,GF-PC-021,172.22.51.56,Trojan,Trojan.Win32.Save.a,e:\prophet\gtaiv\xlive.dll,2024-11-21 07:38:31,A1A2B9FA77209DB81B9AAD1671DB9D50,Ignored,2024-11-22 10:10:13,Sangfor Engine Zero,20241119141739
250,2024-11-22 10:09:26,GF-PC-021,172.22.51.56,Trojan,Trojan.Win32.Agent.Vmff,e:\prophet\gtaiv\rld.dll,2024-08-23 15:46:10,63C08034C19C6896C6EDDBC3D6AB2451,Ignored,2024-11-22 10:10:50,Sangfor Cloud-Based Antivirus Engine,20241119141739
251,2024-11-22 10:09:26,GF-PC-021,172.22.51.56,Others,Suspicious.Win32.Save.a,e:\tinyiso\buddha.dll,2024-09-09 16:22:27,E8B501CA851A7A1852C8759A090789D1,Ignored,2024-11-22 10:10:50,Sangfor Engine Zero,20241119141739
252,2024-11-22 06:21:00,GF-PC-067,172.22.59.202,Trojan,Trojan.Win32.Save.a,c:\orant\bin\ifrun60.exe,2022-02-17 12:07:37,30FE8D995CE8DCC235692DD9CBAAC85E,Fixed successfully.,2024-11-22 06:21:00,Sangfor Engine Zero,20241119141739
253,2024-11-22 00:04:17,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-22 00:04:17,Gene Analysis Engine,20241119141739
254,2024-11-21 14:59:22,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-21 14:33:56,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-21 14:59:22,File Reputation Database,20180825222616
255,2024-11-21 12:41:12,5F-PC-148,172.22.80.221,Trojan,Trojan.JS.Agent.PYO,f:\drive\473\evhpxbuj.js,2024-02-20 11:09:23,E53482FD8E9D227CE51729F443A43027,Isolated successfully.,2024-11-21 12:46:00,Gene Analysis Engine,20241116101146
256,2024-11-21 09:02:50,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-21 09:02:50,Gene Analysis Engine,20241116101146
257,2024-11-21 08:59:34,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-21 08:59:34,Gene Analysis Engine,20241116101146
258,2024-11-21 08:01:16,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-21 08:01:16,Gene Analysis Engine,20241116101146
259,2024-11-21 07:33:23,GF-PC-003,172.22.50.169,Trojan,Trojan.Win32.Save.a,g:\prophet\gtaiv\xlive.dll,2024-08-23 15:46:11,A1A2B9FA77209DB81B9AAD1671DB9D50,Ignored,2024-11-21 07:33:52,Sangfor Engine Zero,20241116101146
260,2024-11-21 07:33:22,GF-PC-003,172.22.50.169,Others,Suspicious.Win32.Save.a,g:\tinyiso\buddha.dll,2024-09-09 16:22:27,E8B501CA851A7A1852C8759A090789D1,Ignored,2024-11-21 07:34:29,Sangfor Engine Zero,20241116101146
261,2024-11-20 19:25:59,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-20 19:28:04,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-20 19:25:59,File Reputation Database,20180825222616
262,2024-11-19 11:15:19,2F-PC-232,172.22.58.13,Trojan,Trojan.Win32.Save.a,e:\ \bfcceadfbdfbdfcadaacebdfbdfbebfcceadfbdfbdfcadaacebdfbdcddc.bfcceadfbdfbdfcadaacebdfbdfbebfcceadfbdfbdfcadaacebdfbdcddc,2018-05-08 16:48:32,1D0091F235B962175FAF529AD8247803,Isolated successfully.,2024-11-19 11:15:19,Sangfor Engine Zero,20241116101146
263,2024-11-19 11:15:19,2F-PC-232,172.22.58.13,Others,Suspicious.Win32.Save.a,e:\ \nastavi\palili.exe,2014-01-16 17:04:07,9C93E80D01075AFC8B16A536628CA8F3,Isolated successfully.,2024-11-19 11:15:19,Sangfor Engine Zero,20241116101146
264,2024-11-19 00:57:09,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-19 00:31:00,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-19 00:57:09,File Reputation Database,20180825222616
265,2024-11-19 00:25:58,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-15 21:47:17,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-19 00:25:58,File Reputation Database,20180825222616
266,2024-11-19 00:25:58,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-15 21:47:17,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-19 00:25:58,File Reputation Database,20180825222616
267,2024-11-18 22:00:47,MSI-Ayedd,192.168.68.103,Cryptomining,Trojan.Win32.Packed.Vk8d,c:\program files (x86)\passper\passper for excel\passper for excel.exe,2024-11-18 22:05:00,135CE250EE488D3819FFEC289464505E,Pending,2024-11-18 22:00:47,Sangfor Cloud-Based Antivirus Engine,20241113141941
268,2024-11-18 15:01:44,1F-PC-004,172.22.58.3,Trojan,Trojan.Win32.Save.a,e:\system volume information\kaspersky internet security 2017 .scr,2010-03-04 07:01:24,9C040D0916C0E4A2FC59D5A9F688B5DD,Isolated successfully.,2024-11-18 15:01:44,Sangfor Engine Zero,20241113141941
269,2024-11-18 15:01:43,1F-PC-004,172.22.58.3,Trojan,Trojan.GenericKD.12402566,e:\system volume information\kaspersky internet security 2017\taskhosts.exe,2020-03-02 17:22:20,0CF721428235FEFFD48C9A4105143CFC,Pending,2024-11-18 15:01:43,Gene Analysis Engine,20241113141941
270,2024-11-18 15:01:43,1F-PC-004,172.22.58.3,Trojan,Trojan.Generic.22213931,e:\system volume information\kaspersky internet security 2017\spoolsvc.exe,2020-03-02 17:22:21,DB0048BA002E206E0F74EA5A07755965,Pending,2024-11-18 15:01:43,Gene Analysis Engine,20241113141941
271,2024-11-18 15:01:43,1F-PC-004,172.22.58.3,Trojan,Trojan.Generic.22489249,e:\system volume information\kaspersky internet security 2017\explorers.exe,2020-03-02 17:22:21,CEFBE41C4FFBA34E2B943E830DDAC3D1,Pending,2024-11-18 15:01:43,Gene Analysis Engine,20241113141941
272,2024-11-18 07:01:44,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Save.a,c:\program files (x86)\medweb\plugin\msvcp140.dll,2016-06-09 22:46:52,5117BFFCB23A92DFCD2E6D43DF751F8B,Fixed successfully.,2024-11-18 07:01:44,Sangfor Engine Zero,20180825222616
273,2024-11-15 23:26:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-15 21:47:17,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-15 23:26:15,File Reputation Database,20180825222616
274,2024-11-15 21:45:14,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-15 21:47:17,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-15 21:45:14,File Reputation Database,20180825222616
275,2024-11-15 13:38:54,4F-PC-027,172.22.61.195,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
276,2024-11-15 13:36:29,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,2023-09-01 01:31:13,08B5889AF26C2C16AC90F99F5B36481C,Pending,2024-11-15 13:36:29,Sangfor Engine Zero,20241112101856
277,2024-11-15 13:36:29,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 03:38:46,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-15 13:36:29,Sangfor Engine Zero,20241112101856
278,2024-11-15 13:36:29,hpkkplazadb,172.22.36.13,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 06:18:22,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
279,2024-11-15 13:09:35,5F-PC-060,172.22.80.165,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:34:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Sangfor Cloud-Based Antivirus Engine,20241126125034
